,0
0,115.884
1,115.88243247384442
2,115.88409418550508
3,115.88715905564752
4,115.88884352659976
5,115.8910398915287
6,115.88903178297907
7,115.8864488844602
8,115.8894193494379
9,115.88613292872841
10,115.88584311699228
11,115.88734684693027
12,115.8843434616648
13,115.88230851877444
14,115.88456398095211
15,115.88397663296895
16,115.88284765281304
17,115.88118713757056
18,115.88111032182567
19,115.88022660731514
20,115.88019429606483
21,115.87866672188477
22,115.87729531225926
23,115.87630127814894
24,115.87586737758186
25,115.87611902961814
26,115.87609681064687
27,115.87576708658769
28,115.87518427861716
29,115.8762459562745
30,115.87281475017706
31,115.87120675285638
32,115.8712357361345
33,115.87028953487331
34,115.87225190297117
35,115.8753579837619
36,115.8774378271601
37,115.8760986235379
38,115.8801053595957
39,115.87912456832854
40,115.88052351830707
41,115.88301586297106
42,115.88635474422313
43,115.88662324658102
44,115.88636179506842
45,115.88736843261154
46,115.88996614360298
47,115.89292173319241
48,115.89920877543396
49,115.89955164233521
50,115.90120477817146
51,115.9019616897922
52,115.90030654627824
53,115.90347444646156
54,115.90627553351084
55,115.9071924907269
56,115.90469849357872
57,115.90426019748213
58,115.9055970274006
59,115.90576117922026
60,115.90758288852767
61,115.9066609637808
62,115.90520204816322
63,115.90599625296878
64,115.90625229276786
65,115.90551930961551
66,115.90337664210325
67,115.90579547969344
68,115.90953603004318
69,115.90809507287166
70,115.91111053167742
71,115.90821466453359
72,115.91075722778086
73,115.90977863146799
74,115.90969136893125
75,115.90663468669719
76,115.90695917861201
77,115.9033408396157
78,115.90293638448993
79,115.90041853245948
80,115.90372806318074
81,115.9036375784327
82,115.90056949240085
83,115.9005479576705
84,115.9014329670242
85,115.8996239048981
86,115.89888352266483
87,115.89764118391936
88,115.89671135937817
89,115.89676503391613
90,115.8930591507591
91,115.8925744137741
92,115.89254199756434
93,115.89125015546962
94,115.89266388693741
95,115.89192029715677
96,115.88956649891095
97,115.88825163912891
98,115.89039018365216
99,115.89080489568458
100,115.89156979775909
101,115.89107482522863
102,115.89103932069652
103,115.89072441121331
104,115.89260257056964
105,115.89338482629624
106,115.89288265484382
107,115.89523674353985
108,115.89341258097366
109,115.89469165453616
110,115.89440897589517
111,115.89578789689907
112,115.8980789874785
113,115.89790363917581
114,115.90004171984408
115,115.8993731218212
116,115.89778548222684
117,115.89720443547516
118,115.89987748201798
119,115.89890507932726
120,115.89956566460374
121,115.90229024127828
122,115.90291481905305
123,115.90461038944701
124,115.90564253882101
125,115.91004677035038
126,115.90898871918074
127,115.90692882074477
128,115.90923591476788
129,115.90941442471214
130,115.90898973465384
131,115.91020799455806
132,115.91215279821978
133,115.91285032106242
134,115.91284995299971
135,115.91122532509897
136,115.91158160418415
137,115.91081317989452
138,115.9113388310755
139,115.91137602283362
140,115.91173953742927
141,115.91236878424378
142,115.90866244517069
143,115.91062528678064
144,115.91350032798765
145,115.91409750134801
146,115.91034043999993
147,115.91301507025983
148,115.91340829823639
149,115.91456699437745
150,115.91487114236249
151,115.91392212222289
152,115.91351027210067
153,115.91456048187565
154,115.91322572513084
155,115.91424887717663
156,115.91193481264868
157,115.91533737096391
158,115.91369025162714
159,115.91068138035044
160,115.91140143622485
161,115.90927644176546
162,115.90951038896316
163,115.90856788874775
164,115.90643092218855
165,115.90742042421948
166,115.9062490519533
167,115.90319163996118
168,115.90496468551063
169,115.9067481170309
170,115.90663868739014
171,115.90713791470803
172,115.90621804292394
173,115.9083513611688
174,115.9098699170445
175,115.91082555281174
176,115.90842095588489
177,115.90701809665406
178,115.91013196796301
179,115.90699891709325
180,115.90990460670001
181,115.90761233526736
182,115.90570930976412
183,115.9043571379222
184,115.90604004223164
185,115.90357430286292
186,115.90579379467566
187,115.9034679539237
188,115.90439507611372
189,115.90496586366734
190,115.90817291805459
191,115.90832282073676
192,115.9065493996328
193,115.90882055717358
194,115.90782199834396
195,115.91313323638961
196,115.91770474543425
197,115.91597906149323
198,115.91619938238594
199,115.91790233224962
200,115.91742245950037
201,115.91710759167783
202,115.91623133570943
203,115.91458743551492
204,115.91374383969834
205,115.91365438873491
206,115.91328614043567
207,115.91437422250662
208,115.9157146147928
209,115.91558629174703
210,115.91214784361304
211,115.91254986502204
212,115.91234644688751
213,115.91290339205766
214,115.91305647381638
215,115.91369166846412
216,115.9128531972023
217,115.91464848038456
218,115.91345854238921
219,115.91037022598358
220,115.91135705064757
221,115.90856744948377
222,115.90702837297098
223,115.90398378898658
224,115.90449745014223
225,115.90281874899533
226,115.90313956046596
227,115.90594062360972
228,115.90535403856292
229,115.9046718501073
230,115.90485380962147
231,115.9040415272056
232,115.90903350486904
233,115.90978745757867
234,115.909045580203
235,115.90715925896582
236,115.90584596373196
237,115.90548287695123
238,115.90395091324078
239,115.90341294998566
240,115.90402639901392
241,115.90557039686102
242,115.90635616358342
243,115.90779461411739
244,115.9100251589331
245,115.90863530662536
246,115.90454247946361
247,115.90200142854405
248,115.90128457328343
249,115.90031441408105
250,115.89999957673855
251,115.90052517047353
252,115.9048589134271
253,115.90431159100794
254,115.90495326315309
255,115.90455691577944
256,115.90469319045881
257,115.9054206234887
258,115.90861629156514
259,115.90914490599758
260,115.90956725792014
261,115.91090391799169
262,115.9118733825546
263,115.91200570377217
264,115.91140423613537
265,115.91536609278798
266,115.9133358591785
267,115.91050452109974
268,115.91430772391936
269,115.91705126870903
270,115.92117518586875
271,115.92209197250966
272,115.9193852261501
273,115.91922720495728
274,115.91991646659176
275,115.9165408339026
276,115.91808275063607
277,115.92054355375524
278,115.9208091362003
279,115.92196839982346
280,115.92096422792005
281,115.9217419323499
282,115.9206535508132
283,115.91915596990674
284,115.91762241016885
285,115.91544173528338
286,115.91592403003135
287,115.91447598473948
288,115.91485570150346
289,115.91573504055869
290,115.91367468256253
291,115.91279909961875
292,115.91431815910347
293,115.91480603061068
294,115.91370556025217
295,115.91440564174782
296,115.9162077019346
297,115.91394453929774
298,115.9150072261013
299,115.917378117245
300,115.91865478326349
301,115.91999806446051
302,115.91809638777855
303,115.91658938606801
304,115.9148358841978
305,115.91682652551572
306,115.91756775338514
307,115.91723769132594
308,115.91796325887394
309,115.91801934576374
310,115.91585774345522
311,115.91546693534676
312,115.91453633038135
313,115.911609775853
314,115.91196850923605
315,115.91300734902379
316,115.91324200078282
317,115.91378225252741
318,115.91627572349378
319,115.91193286898785
320,115.91134916472633
321,115.91380152042387
322,115.91799551836985
323,115.9183188674105
324,115.91549034819298
325,115.91598235708756
326,115.91517351110139
327,115.91813823597846
328,115.91725690525448
329,115.91986621512831
330,115.92048318301755
331,115.92328624188616
332,115.92656613332568
333,115.92660407887902
334,115.92794955179826
335,115.92691279448798
336,115.92781828038258
337,115.92750699287852
338,115.9266273899146
339,115.92651853691885
340,115.925129227787
341,115.92804543977478
342,115.92830432136927
343,115.93204602107473
344,115.93535827232725
345,115.93395644391904
346,115.9323406555555
347,115.93275249233744
348,115.93299928844078
349,115.93580122113991
350,115.93563896110739
351,115.93379578102716
352,115.93653165948182
353,115.93531199022927
354,115.93389449844511
355,115.93464763191162
356,115.93785368530548
357,115.94171806777108
358,115.93949683316652
359,115.94076476344983
360,115.94134044526187
361,115.94294702146037
362,115.94248621168367
363,115.94733773207969
364,0.0
