,result
0,0.0
1,6076.654581899476
2,6081.123634076407
3,5971.292864741989
4,6006.028092020167
5,5990.359255718353
6,6022.763449571389
7,6067.032729537446
8,5933.415156354767
9,6028.41226741517
10,6122.504843108385
11,6186.219561529482
12,6054.477761214817
13,5930.769593881949
14,6028.149833734209
15,5960.472624570383
16,6075.804837035436
17,5978.3519181056445
18,6028.661490619987
19,6088.0941351837555
20,6094.018431898708
21,5979.211586672937
22,6086.329091644792
23,6110.601546836405
24,5968.152318857551
25,6025.982310829872
26,6121.567979469941
27,6083.502924007131
28,6118.510688056852
29,6009.023189667782
30,6041.256722942295
31,5957.934063884009
32,6021.370576534027
33,6063.755266215552
34,6063.751450042117
35,6072.304468579772
36,6030.565170248349
37,6045.795539163523
38,5970.181479772169
39,6029.577113207839
40,5975.630004075623
41,6002.353918564225
42,6033.3046038523225
43,6191.2090053261245
44,5989.10455480663
45,6169.778049160355
46,6048.578423824767
47,6041.906104013654
48,6080.372638938566
49,6029.711260184888
50,5920.4735504612
51,6057.504630908727
52,6049.4725947633315
53,6069.747179610636
54,6079.223498475199
55,6108.734278550289
56,6174.549641361229
57,5954.929732717615
58,6087.631816978004
59,5875.91574209625
60,5971.4840199927585
61,6042.937353998309
62,6156.33196937221
63,6037.328903727562
64,5970.183397915263
65,5951.440437406458
66,6085.93409050347
67,5941.917886167992
68,5889.663770132987
69,6147.108909331035
70,6003.604677962472
71,6141.673811321195
72,6055.67975592843
73,5964.722181179691
74,6078.486912101845
75,6093.2255790132895
76,6081.209867198655
77,6123.610534850201
78,6067.234853333936
79,6137.174361003391
80,6010.271348717123
81,6191.20860591197
82,5987.117777883301
83,6059.1961063924355
84,6004.22426776699
85,5929.9054347711335
86,6087.406733236989
87,6016.16334857128
88,6198.523437720117
89,6078.320069573524
90,6221.762229006502
91,6012.924260975468
92,6045.087996077028
93,5869.257868047549
94,5969.308309951522
95,6057.317005223876
96,6092.113716085611
97,6034.181451112474
98,6030.774810796325
99,5999.994729460048
100,6104.616535852209
101,6010.944497943818
102,5941.4207225526425
103,6000.347488876482
104,6153.464692770494
105,5963.482597672928
106,6095.232918221369
107,6029.800993001778
108,6062.023476273612
109,6133.867491678017
110,6026.199864554023
111,6083.680050319142
112,5966.160660100955
113,5907.709783385081
114,6133.224832523655
115,6016.945859431893
116,5998.6628670572445
117,6181.024429886945
118,6101.648898466902
119,6088.232662795052
120,6004.774482681904
121,6015.680136425221
122,6044.860960842348
123,6014.0961053076735
124,6070.855170397832
125,5993.532230136069
126,5978.658311352609
127,6127.811894678351
128,6009.437825936895
129,6041.488414464692
130,6072.435270782822
131,5982.913023550618
132,6009.412529033406
133,6034.982396886729
134,5968.383583713429
135,5946.023710260733
136,6034.706560340825
137,6032.792352632545
138,6002.1643793923095
139,6069.1690577923155
140,6057.18068657211
141,5886.8332495092
142,6002.913018859123
143,6112.8312173861605
144,6004.489763766927
145,6083.617914743388
146,6116.819746267222
147,6113.518814627674
148,6116.507709609528
149,6025.4245885144655
150,6125.1153667873305
151,6024.093217407466
152,6063.059255251615
153,6063.755744263564
154,5977.218959625513
155,6000.045593577885
156,6192.610779145917
157,6072.733926900307
158,6002.7656220184235
159,5991.43233757679
160,6023.947902236881
161,6068.811282715608
162,6057.960989295552
163,6074.725313314316
164,6084.929877268876
